Domain,Unique Subdomains,Times Looked Up
attacker.com,995,2112
ubuntu.com,3,17
canonical.com,2,6
iskkwq4abv6xbaaqa4/ah0z9mmgdutk2yjpgwh8xses=.attacker.com,1,2
bkxreep5fzr7zkueigzv+9eybrbse6g5g+k5bf8bbfe=.attacker.com,1,2
b0yjthuh7irjqu/haidy7/7ca/kvfmpuvzhlo0zbwuc=.attacker.com,1,2
a5a0rt4fpgfyxmg9ek7djgaltgw2jbhxslfu3p1roje=.attacker.com,1,2
pkfmgt9poet3qflted+cogjohnxj5zejzazvbk+sg/4=.attacker.com,1,2
qo72jubg7aojpxwy+st2bibiz7r39teeqdhokvikrwy=.attacker.com,1,2
vbp0gm54dkqcljneuf253jkhnincd1gh/gktgin/jpw=.attacker.com,1,2
lsgnibop6s734vgbgxqlgxmjul7rj62d6nzphys07xa=.attacker.com,1,2
uowq3pr0i7y7lz/i8n125m/zutonjkuh9ugpelkmpqo=.attacker.com,1,2
wckquprjrlzsjqot+o9jqkjdacnparz20dv2ws3bxt0=.attacker.com,1,2
e7qsd1so/8zuaa+llferglijcgber8ake55mr5xa5yi=.attacker.com,1,2
9ndy2o1pbhd/7r2s9yjcjrwwd5voohzblcsb75wonac=.attacker.com,1,2
nakn0ihikz2/v+gmpt5wokwo5lafe8x2q7hogx41n38=.attacker.com,1,2
bmafi4n0upn3fjdkuevk219pkvxbvhatca5n5+kzzpi=.attacker.com,1,2
tnmzo5gadangt/s74sx8bjdbwcqdqixbiqjy8rptlpq=.attacker.com,1,2
kkkfpqvsej/esqlktjdcpd1kp5gqgye1nqxdbf1tdck=.attacker.com,1,3
b467x6aejvmuoxrqk5jsvknmjyet23p2gubiqrjwt14=.attacker.com,1,2
aqldpxmqfs80esvex8lfkjtqnmwsbalhhjjbmzld9i4=.attacker.com,1,2
banjo.canonical.com,1,2
hlmlhfh26wiwjw6lqu+9ibhvludkrqfr0kj8z67ufuy=.attacker.com,1,2
0gvspi8e1hgfocbif0kypzhm45gfeccfj0guhulrrge=.attacker.com,1,2
qqomeootjsh/tlgkyafa3ywk4lb0bz54rpuvvlxznuy=.attacker.com,1,2
en/r2hkqzpfuoqgedn5rduvj6oy8zoebnmk2lu86ycy=.attacker.com,1,2
f6e0ettn9kqvj5ly5jeot5tqjdohxjliug5fficrl7k=.attacker.com,1,2
fesjcunqf52l03m5cw5zhnobkisesw3wheyognk+nvw=.attacker.com,1,2
aadkrnx7lyqkzsdt+7oshqd3qxvwipvyymwydt7cmpe=.attacker.com,1,2
gm3z9ok9mkyymsxjebtpxsujdcg9mylneihaepww3m0=.attacker.com,1,2
kzai8inf0sfgcyvuujxjp8zxnwyirjiy/ipch+glhng=.attacker.com,1,2
hxu8yn5ndmqgx5dd/neep7hur4g0rzcrwa8qlofthqc=.attacker.com,1,2
/wt4oyxpo+bvoiqhze6yl1dufj+xj+hr1lzyn5zkjhk=.attacker.com,1,2
qt/1g8v+zfoany0rzinc93zwnzqew7qyyencs0pqnpa=.attacker.com,1,3
7hh2fietk0m5t/k6oafzdv5lnl3ds5jrouowzikgks8=.attacker.com,1,2
7kipunqj0fvyzapxzxvidii3o2mn8ixrmr2foc0sd1i=.attacker.com,1,2
9lhgxpzppuiyjcn8852pels/ycx70m4xo/gtoguxoe4=.attacker.com,1,2
cppbgwlound1szqhzcqjmwujltdma8t/ero78s0pfb0=.attacker.com,1,2
zc9znleay2hv9scdtkud8y0f7o5qtqxoyv2j+mo+nsg=.attacker.com,1,2
5szoztmo60v7vu5tb9uhtnhiapmukc+k7swcjby823q=.attacker.com,1,2
i41jntyepmiaaqbgfxa4ltit5ukvklpd5/pkwhma8ki=.attacker.com,1,2
iy+1lfpyu0n0cwuqoyabtddrellcn4y0nzigzxsqymy=.attacker.com,1,3
e8rk3+oais8f5gzkqsed/zcuxlmk2m8jiuklcgs6jb4=.attacker.com,1,2
6rpiltannooax5v1szmp9xoavsym41ncbtjtngpcspo=.attacker.com,1,2
